e, e_dot, e_int, stamp, 
-0.16478900018860362, 0.0, -0.032957800037720725, 189652000000, 
-0.16452430427696615, 0.0008823197054582307, -0.03294015364361156, 189924000000, 
-0.16744843587045055, -0.008864785606156425, -0.033117449355734685, 190026000000, 
-0.17486607794449718, -0.0344725788917701, -0.033789254539460925, 190128000000, 
-0.18325482117595468, -0.05268795101834709, -0.03503795566606016, 190196000000, 
-0.19286644717170298, -0.06000123075735266, -0.03673248975281032, 190298000000, 
-0.20353251838061448, -0.06759232401553267, -0.03864358578188481, 190400000000, 
-0.2154775443760553, -0.0753703240145077, -0.04079176732855818, 190502000000, 
-0.22940413156322723, -0.08623871060870915, -0.0432276129546598, 190604000000, 
-0.24468173985516312, -0.09734731826369275, -0.04597089438629638, 190706000000, 
-0.2638972766145739, -0.1149771501711556, -0.04919887653553094, 190808000000, 
-0.2077859050232791, 0.12298611610628007, -0.04775766143286774, 190910000000, 
-0.2247021769874027, 0.13065033209057073, -0.046425690575017046, 191012000000, 
-0.2468285312231992, -0.130142087333067, -0.04528777421559207, 191114000000, 
-0.2758718885833628, -0.17056570531986706, -0.049826839786264315, 191216000000, 
-0.3422037498347363, -0.31791739537179026, -0.05766027797608655, 191318000000, 
-0.43251184613886184, -0.5221331918516635, -0.07003916563713072, 191420000000, 
-0.32643086958625256, 0.05257626749494574, -0.0734097643706567, 191522000000, 
-0.16017303912424208, 0.9077960233820659, -0.061274383656623764, 191624000000, 
-0.2339341441710374, 0.30832241805071725, -0.048035870192102134, 191726000000, 
0.26832621342901153, 1.428330841844179, -0.008385397991084531, 191794000000, 
1.0281782392984709, 4.207041278231694, 0.07083802057042968, 191896000000, 
2.001629419563975, 5.777677353783211, 0.21987559148609714, 191998000000, 
2.129113107257862, 3.66978289319797, 0.34392805107468716, 192100000000, 
2.1504896002503124, 0.49620060228779145, 0.4187488084714766, 192202000000, 
2.18657127527094, 0.19152722671026043, 0.4310782655186076, 192304000000, 
2.2125801345331615, 0.20696844760949684, 0.43664273400362763, 192406000000, 
2.1668260405370994, -0.06581744911280236, 0.43773183002274674, 192508000000, 
2.119643253311311, -0.309789604072835, 0.43326996189210476, 192610000000, 
2.0886813037966396, -0.26048245580153245, 0.42501003984300334, 192712000000, 
2.0502604444735035, -0.23127602945935818, 0.4172390001054302, 192814000000, 
1.9872541318431636, -0.33809057317825353, 0.4084130586742205, 192916000000, 
1.9984233561154063, -0.17279029452699066, 0.40239586216213824, 193018000000, 
1.9757118686103246, -0.03847421077613008, 0.39742595710459294, 193120000000, 
1.963589436702441, -0.11611306470988476, 0.39584831076187815, 193222000000, 
1.9490817572052457, -0.08876703801692958, 0.3925588708345341, 193324000000, 
1.8448896534809596, -0.39566594407160444, 0.38383738982590976, 193392000000, 
1.8332646389271237, -0.3860570609270734, 0.37514906997422187, 193494000000, 
1.8191780804362976, -0.08570524348220661, 0.3664888248562921, 193596000000, 
1.807242425375108, -0.08674071184005205, 0.36397900964923524, 193698000000, 
1.8156205883037777, -0.011858307108399599, 0.36280273960767884, 193800000000, 
1.8147232865147878, 0.024936203798932393, 0.3625057533462449, 193902000000, 
1.7189174913447434, -0.3223436565301145, 0.35661742441088723, 194004000000, 
1.707408210820009, -0.3577169189825957, 0.34940326591196935, 194106000000, 
1.6937075137150628, -0.08403325876560193, 0.341335547725321, 194208000000, 
1.6763880200139947, -0.1034006360200479, 0.3385002496366044, 194310000000, 
1.6607493273786615, -0.10986062112133747, 0.33538965740718124, 194412000000, 
1.6686930733146224, -0.02564982233124106, 0.3337220280471519, 194514000000, 
1.6531084779364233, -0.025469498140793984, 0.33217005857531384, 194616000000, 
1.5634327919747664, -0.35086760446618664, 0.32568228954838746, 194718000000, 
1.5512638753419603, -0.33948200864821015, 0.31785367635021, 194820000000, 
1.5369375261266975, -0.08831755282689609, 0.31010894622956164, 194922000000, 
1.5184000563559175, -0.10954606328680949, 0.3071067638549717, 194990000000, 
1.499172049171226, -0.12588492318490538, 0.3036339754435894, 195092000000, 
1.491112184766376, -0.0909595719651383, 0.30057895268623464, 195194000000, 
1.4798617188526595, -0.06436776772855479, 0.2980097301860174, 195296000000, 
1.4698168584475126, -0.07098442106287776, 0.29605271747110323, 195398000000, 
1.4566891765316192, -0.0772418077368009, 0.29375785025545276, 195500000000, 
1.440583208854323, -0.09744549864396583, 0.2911392829222303, 195602000000, 
1.421040983742214, -0.11882730929801744, 0.28788755794187704, 195704000000, 
1.4015378862349117, -0.13015107539803727, 0.2842108052554299, 195806000000, 
1.38270435108148, -0.12778877553577983, 0.28035221473724037, 195908000000, 
1.3602766641493638, -0.13753740695182648, 0.276301260097717, 196010000000, 
1.3450991079733168, -0.1253508103605442, 0.27253867488027733, 196112000000, 
1.329143895020691, -0.10377589709557562, 0.26896797780955806, 196214000000, 
1.3137830998340168, -0.10438669379766674, 0.26586840685520163, 196316000000, 
1.2940438424545448, -0.11700017522048745, 0.26246472248728353, 196418000000, 
1.2741247090188672, -0.1321946360504985, 0.25879677675382856, 196520000000, 
1.2510228174100937, -0.14340341681483718, 0.25461275792556703, 196588000000, 
1.229430032181492, -0.14898225612458424, 0.2503051705740302, 196690000000, 
1.2047364276926817, -0.1542879657247065, 0.2456792851522845, 196792000000, 
1.1795795257560004, -0.1661683547516383, 0.2409163990420116, 196894000000, 
1.1546315272143564, -0.16701633492775128, 0.23592983204420256, 196996000000, 
1.1245908691822506, -0.1832955219124995, 0.23058679481017383, 197098000000, 
1.0915151758043442, -0.21038783803337383, 0.22471583814673007, 197200000000, 
1.0609652993859566, -0.21208523265431323, 0.21847142295817007, 197302000000, 
1.0282468864702907, -0.2108942977801783, 0.21204849077737278, 197404000000, 
0.9946009938181647, -0.2212143518926398, 0.20558754531162748, 197506000000, 
1.0982004238716536, 0.23317845800454298, 0.20806988694400727, 197608000000, 
1.0632869256493915, 0.22895310610408948, 0.21040588955594733, 197710000000, 
1.023116500052455, -0.25027974606399567, 0.2123069233049, 197812000000, 
0.979336447696303, -0.27983492651029507, 0.2043826582265433, 197914000000, 
0.8970998063322073, -0.42005564573415866, 0.19330351693873105, 198016000000, 
1.0080770126984815, 0.09580188334059492, 0.1923008844484661, 198118000000, 
0.9341708322436798, 0.12357008637157496, 0.18928984341829125, 198186000000, 
0.8474248970940167, -0.5355070520148827, 0.18597818280241185, 198288000000, 
0.7784063236795501, -0.519215028547099, 0.1706668035344831, 198390000000, 
