e, e_dot, e_int, stamp, 
6.08101214101291, 0.0, 1.216202428202582, 189652000000, 
6.081269931862342, 0.0008593028314389054, 1.2162196142592108, 189924000000, 
6.0788972851681295, -0.007049519482601833, 1.216078623869559, 190026000000, 
6.0723447514091395, -0.029750601510674102, 1.215500797895974, 190128000000, 
6.065972589239642, -0.043082319761624056, 1.2144809750544607, 190196000000, 
6.05962383987057, -0.042403038461899335, 1.21319607870129, 190298000000, 
6.053074384664527, -0.04299401525038308, 1.2119113875849827, 190400000000, 
6.046081510792767, -0.04514109692600835, 1.2105853156885242, 190502000000, 
6.038906876965642, -0.04722502566295065, 1.2092041848281956, 190604000000, 
6.03202920812049, -0.04684100890758991, 1.2078011730585931, 190706000000, 
6.02495706658428, -0.04649936793787409, 1.2063928767780272, 190808000000, 
6.018165760521815, -0.04621149199558398, 1.2050101356817722, 190910000000, 
6.011565951352871, -0.04463705077136263, 1.2036459185639312, 191012000000, 
6.004941046372016, -0.04408238049932992, 1.2023115172164467, 191114000000, 
5.998419771961556, -0.043820597971050056, 1.2009951179790963, 191216000000, 
5.991168463648547, -0.045908609078229766, 1.1996352854654746, 191318000000, 
5.9844372437531925, -0.04660842736121218, 1.1982683652908863, 191420000000, 
5.977920004529052, -0.04416153039831746, 1.1969017141287197, 191522000000, 
5.971402922983314, -0.043447735899594754, 1.195584011417704, 191624000000, 
5.96470878910742, -0.044037384738772424, 1.1942687811079857, 191726000000, 
5.958334599612569, -0.04356107790248309, 1.192963087446887, 191794000000, 
5.9528522069826275, -0.0395219404159756, 1.191726373046841, 191896000000, 
5.946748920658062, -0.03861892984835672, 1.1905290484835507, 191998000000, 
5.940768485587174, -0.040279071318177394, 1.189357974215191, 192100000000, 
5.934118833532262, -0.042100290419334975, 1.1881090826518332, 192202000000, 
5.925993910213687, -0.049248584578291954, 1.1867254152888749, 192304000000, 
5.916802757697728, -0.05772025278177809, 1.185127700096245, 192406000000, 
5.9096502264178685, -0.05447894598606062, 1.1834964596219522, 192508000000, 
5.902407749828656, -0.04798335956357332, 1.1819240489296168, 192610000000, 
5.894472722298801, -0.050591680396892734, 1.1804353799030216, 192712000000, 
5.886693702204455, -0.05238015874733826, 1.1789049449554607, 192814000000, 
5.881514406892268, -0.0431943846884438, 1.1775120554263683, 192916000000, 
5.872269201404957, -0.04808166933165955, 1.176031820700112, 193018000000, 
5.865160695110723, -0.05451237260514811, 1.174596286893863, 193120000000, 
5.856996746969412, -0.05090818145181567, 1.1729617762323394, 193222000000, 
5.849577158652772, -0.05194512152650432, 1.1714489733821938, 193324000000, 
5.841359487666348, -0.05212419767688085, 1.1698622262192353, 193392000000, 
5.832635248173806, -0.05647303492988698, 1.1682381262995283, 193494000000, 
5.824360161999407, -0.05666441888980245, 1.166556993189304, 193596000000, 
5.8154303544215304, -0.05734964584091765, 1.164828384306316, 193698000000, 
5.806591984683002, -0.059227257721351144, 1.1630921667402627, 193800000000, 
5.797712009938671, -0.05906114827619824, 1.161315623269547, 193902000000, 
5.788842862130175, -0.05916374184275597, 1.1595431237834566, 194004000000, 
5.7797376671784635, -0.059914475867358284, 1.1577528359498206, 194106000000, 
5.77029247522241, -0.06183462302588261, 1.1559248669687365, 194208000000, 
5.76074778519139, -0.06329960662357692, 1.1540518618394844, 194310000000, 
5.753421566980823, -0.056236360805292186, 1.1522974551596414, 194412000000, 
5.743476817902424, -0.057569890963220516, 1.1505097446716424, 194514000000, 
5.734379915515305, -0.0634721715517254, 1.1487518866932367, 194616000000, 
5.725054330747858, -0.061408290515222085, 1.1468607376110391, 194718000000, 
5.715484592878296, -0.06298440879003071, 1.1449945892760973, 194820000000, 
5.705402635838336, -0.06550564969840522, 1.143062770630966, 194922000000, 
5.695842833278187, -0.06547253200036351, 1.1411153374663212, 194990000000, 
5.688785166881735, -0.055391563188669224, 1.1393353757332172, 195092000000, 
5.679347355196835, -0.05498492693783774, 1.1375983570237838, 195194000000, 
5.669477520271518, -0.06435882203405778, 1.1358406694900058, 195296000000, 
5.659542061388481, -0.06601764602784795, 1.133891129123789, 195398000000, 
5.649872518880739, -0.06535000463593121, 1.1319261400360492, 195500000000, 
5.640071342389454, -0.06490239666342212, 1.1299657281772448, 195602000000, 
5.630349161518153, -0.0650778578752842, 1.1280195348525563, 195704000000, 
5.62055070013876, -0.06506880750231463, 1.1260647469364247, 195806000000, 
5.610586430981739, -0.0658757684547151, 1.1240990861759101, 195908000000, 
5.601129454150417, -0.0647374866278098, 1.1221511056847278, 196010000000, 
5.5907396647010135, -0.06615588760241782, 1.1201637033222114, 196112000000, 
5.580422724618276, -0.06902243177380345, 1.118152789564647, 196214000000, 
5.569891775391529, -0.06949296436494852, 1.1160702776473879, 196316000000, 
5.559901627935318, -0.06840365560986032, 1.1140144085296748, 196418000000, 
5.549714853985175, -0.06725640468784692, 1.1119672171541348, 196520000000, 
5.53966868006951, -0.06744315955269364, 1.1099523441326669, 196588000000, 
5.5292815949203025, -0.06811086354957456, 1.1079110085983326, 196690000000, 
5.519149699984743, -0.06839660028255719, 1.1058733316649703, 196792000000, 
5.508942247426582, -0.06779782497906932, 1.1038249028221083, 196894000000, 
5.498555316834585, -0.06864794383385942, 1.1017764842830606, 196996000000, 
5.488598290831896, -0.06781318864895229, 1.099739723672871, 197098000000, 
5.478820851613206, -0.06578155073792817, 1.097731630618646, 197200000000, 
5.468569848592011, -0.06676147413294882, 1.0957325994024742, 197302000000, 
5.458284330723072, -0.06845506963378156, 1.0937116687285526, 197404000000, 
