imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.06337636497161699, -0.0013159286158161373, -0.02111349210970393, 1.7792441981180728e-11, -0.0007095537093817196, -2.507553937909005e-08, -1.9999139373136594, -0.5000010112908503, 178283000000, 
-0.08351251788971276, 0.00878646974227491, -0.04385228455305462, 1.1668816200330008e-08, -0.0049977899612857375, -2.334795237639013e-06, -1.999713198401157, -0.5000010102566941, 178383000000, 
-0.062392906076214, 0.02221902240094111, -0.050339922385402296, 3.992145598801094e-07, -0.009095040726939337, -4.3893652801096695e-05, -1.9996031693568574, -0.5000010059283241, 178478000000, 
-0.02814949885109912, 0.013682151363913934, -0.041396910289391214, 5.953581528616078e-07, -0.007925909204628177, -7.511543943929615e-05, -1.9995586167197086, -0.5000009956173876, 178583000000, 
-0.04425617682226579, 0.011833873633036895, -0.04220397413338931, 6.081188504517043e-07, -0.007379245515115419, -8.240935326058096e-05, -1.999537397973066, -0.5000009860023918, 178678000000, 
-0.06647581464366331, 0.006267504771153809, -0.05135567268873807, 5.19407960867117e-07, -0.007601033115517678, -6.833386369633545e-05, -1.999469700812216, -0.500000979367184, 178778000000, 
-0.07195397682290812, -0.008281154701734635, -0.05906923427213022, 1.402701466907115e-07, -0.008189104876296382, -1.7128874133329003e-05, -1.999377992458497, -0.500000981385032, 178878000000, 
-0.0673749918315367, 0.007498101035987522, -0.06197661788581228, 3.006180490789225e-07, -0.008729578345684899, -3.443672044337863e-05, -1.9993026887160494, -0.500000974380495, 178978000000, 
-0.05520113938595429, -0.018501677138120492, -0.05900004322151065, -3.7354306378119645e-07, -0.008888613405046967, 4.202489710814717e-05, -1.999274483939129, -0.500000985723174, 179078000000, 
-0.05274681087847424, 0.0012094690356349977, -0.056229922674363914, -1.8861204118500019e-07, -0.008818025390125366, 2.1389373792936956e-05, -1.9992744137476728, -0.5000009828247447, 179178000000, 
-0.07291694961278515, 0.010846433651082127, -0.06239150741354069, 2.220688652023106e-07, -0.009132361677407413, -2.431669627711829e-05, -1.9992374186124526, -0.5000009750743823, 179278000000, 
-0.059817457608760255, -0.01233475529874566, -0.06103864098262634, -2.6971404989504634e-07, -0.009260425343690589, 2.9125449413488418e-05, -1.999222227786284, -0.5000009851712003, 179378000000, 
-0.05418577342183944, -0.014207088382940231, -0.058022361863512555, -6.320776971558325e-07, -0.009148742608279295, 6.908902394781815e-05, -1.9992305540071844, -0.500000995959483, 179478000000, 
-0.06687272588927433, -0.0045721252089282165, -0.06112354178629565, -5.413878372694242e-07, -0.00926797415749875, 5.841490578945835e-05, -1.999218318862085, -0.5000010003126961, 179583000000, 
-0.05879922273512833, -0.01809703110242666, -0.059868575519286274, -9.360533582827032e-07, -0.009262044015434349, 0.00010106336751616123, -1.9992170348482163, -0.5000010166311072, 179678000000, 
